"subject","predicate","object"
"event/Successful_third_Hot_Test_of_Semi-Cryogenic_Engine_Power_Head_Test_Article","has_description","May 31, 2025 ISRO commenced a series of performance evaluation tests in March 2025 of the Semicryogenic engine Power Head Test Article (PHTA) that comprises all the engine systems except the thrust chamber. These tests were planned to validate the design of the propellant feed system, including the low-pressure and high-pressure turbo-pumps, the pre-burner, start system and control components. On May 28, 2025, the Power Head Test Article (PHTA) underwent a third hot test at the ISRO Propulsion Complex (IPRC), Mahendragiri, that was aimed at validating the engine’s ignition and start-up sequence and to derive optimum sequence for the integrated engine. During the test, the engine was successfully ignited and operated up to 60% of its rated power level, demonstrating stable and controlled performance throughout the firing. The PHTA has earlier undergone two hot tests. The first test on 28.03.2025, demonstrated the smooth ignition & bootstrap operation over a short duration of 2.5 seconds. The second hot test on 24.04.2025, demonstrated the start transient build up and tested the start-up sequence by carrying out a hot-firing for a duration of 3.5 seconds. The third test, conducted today, was carried out for a duration of 3 seconds to further fine-tune & finalize the start-up sequence. The Semi-Cryogenic Propulsion Stage (SC120), powered by the 2000 kN-class SE2000 engine, is being developed to replace the current liquid core stage (L110) of the LVM3 launch vehicle towards enhancing its payload capability."
"event/Successful_third_Hot_Test_of_Semi-Cryogenic_Engine_Power_Head_Test_Article","conducted_by","org/ISRO"
"event/Successful_third_Hot_Test_of_Semi-Cryogenic_Engine_Power_Head_Test_Article","has_date","date/May_31,_2025"
"event/Successful_third_Hot_Test_of_Semi-Cryogenic_Engine_Power_Head_Test_Article","has_document","document/Successful_third_Hot_Test_Semi_Cryogenic_Engine"
"event/ISRO_Academia_Connect_Workshop_&_Inauguration_of_Space_Technology_Incubation_Centre_(STIC)_Facility_for_Central_Region_and_Release_of_“Research_Areas_in_Space_–_2025”_at_Maulana_Azad_National_Institute_of_Technology_(MANIT),_Bhopal","has_description","May 30, 2025 Indian Space Research Organisation (ISRO) has organised one-day Academia Connect workshop for Central region (Madhya Pradesh, Uttar Pradesh and Chhattisgarh) at MANIT Bhopal on May 22, 2025.  Dr. V. Narayanan, Secretary, DOS / Chairman, ISRO inaugurated the workshop in the presence of Dr. K. K. Shukla, Director, MANIT Bhopal and Shri M. Ganesh Pillai, Scientific Secretary, ISRO. Senior Scientists from all across ISRO / DoS Centres delivered talks on various potential research areas in Space Science and Technology domain, where academia and ISRO can collaborate. Programme was attended by more than 200 academicians and researchers from 70 Engineering Colleges / Universities across Madhya Pradesh, Uttar Pradesh and Chhattisgarh. Dr. V. Narayanan, Secretary, DOS / Chairman, ISRO has inaugurated the STIC facility and also released “Research Areas in Space – 2025” document, which is compilation of Research Areas of Department of Space open for academic collaboration. This document contains 87 Research Areas and it will be used as a reference document for preparation of proposals by academia for collaborations with ISRO.  The Research Areas in Space – 2025 document can be accessed atthis link. Department of Space also established Space Technology Incubation Centre (STIC) facility, for Central region at MANIT Bhopal. The STIC at MANIT Bhopal will act as a nodal Centre to attract and nurture the students with innovative ideas for carrying out research in Space Technology for central region covering Madhya Pradesh, Uttar Pradesh and Chhattisgarh."
"event/ISRO_Academia_Connect_Workshop_&_Inauguration_of_Space_Technology_Incubation_Centre_(STIC)_Facility_for_Central_Region_and_Release_of_“Research_Areas_in_Space_–_2025”_at_Maulana_Azad_National_Institute_of_Technology_(MANIT),_Bhopal","conducted_by","org/ISRO"
"event/ISRO_Academia_Connect_Workshop_&_Inauguration_of_Space_Technology_Incubation_Centre_(STIC)_Facility_for_Central_Region_and_Release_of_“Research_Areas_in_Space_–_2025”_at_Maulana_Azad_National_Institute_of_Technology_(MANIT),_Bhopal","has_date","date/May_30,_2025"
"event/ISRO_Academia_Connect_Workshop_&_Inauguration_of_Space_Technology_Incubation_Centre_(STIC)_Facility_for_Central_Region_and_Release_of_“Research_Areas_in_Space_–_2025”_at_Maulana_Azad_National_Institute_of_Technology_(MANIT),_Bhopal","has_document","document/ISRO_Academia_Workshop_Inauguration_STIC"
"event/NISAR_Awareness_Workshop_(April_29,_2025)_for_Indian_Non-Governmental_Entities_(NGEi)_Space_Applications_Centre,_Ahmedabad","has_description","May 29, 2025 One-day workshop on NISAR awareness for the Non-Governmental Entities of India (NGEi) was organised at Space Applications Centre (SAC), Ahmedabad on April 29, 2025, to enable and engage the NGEi in various activities since the early phase of satellite mission. The workshop was supported by IN-SPACe and NSIL. The primary objectives of the workshop were to involve NGEi for development of value-added products & services and upscaling of downstream applications developed using NISAR data. About 80 professionals representing NGEi from diversified domains joined by about 100 scientists and engineers from ISRO representing NISAR project and science teams participated in the workshop. Major outcomes from the workshop The workshop concluded with resolve to hold next stage of focussed discussions with the NGEi to formulate plans of action for utilisation of NISR data."
"event/NISAR_Awareness_Workshop_(April_29,_2025)_for_Indian_Non-Governmental_Entities_(NGEi)_Space_Applications_Centre,_Ahmedabad","conducted_by","org/ISRO"
"event/NISAR_Awareness_Workshop_(April_29,_2025)_for_Indian_Non-Governmental_Entities_(NGEi)_Space_Applications_Centre,_Ahmedabad","has_date","date/May_29,_2025"
"event/NISAR_Awareness_Workshop_(April_29,_2025)_for_Indian_Non-Governmental_Entities_(NGEi)_Space_Applications_Centre,_Ahmedabad","has_document","document/NISAR_Awareness_Workshop_for_NGEi"
